Date_Ref;Exutoire;Client;Activité;Num Ticket;Num Bon;Chauffeur;Immatriculation;EXT_Matiere;Matiere_T;Verif_Tonnes;Verif_Matiere;Verif_Exutoire;Poids_Terrain;Poids_Facture;Ecart
;PICHETA;SITA -IDF;DECHETTERIE;LC25113265C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;5.6;-5.6
;PICHETA;SITA -IDF;DECHETTERIE;LC25113267C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;8.35;-8.35
;PICHETA;SITA -IDF;DECHETTERIE;LC25113268C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;6.5;-6.5
;PICHETA;SITA -IDF;DECHETTERIE;LC25113270C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;4.65;-4.65
;PICHETA;SITA -IDF;DECHETTERIE;LC25113272C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;6.95;-6.95
;PICHETA;SITA -IDF;DECHETTERIE;LC25113274C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;7.4;-7.4
;PICHETA;SITA -IDF;DECHETTERIE;LC25113275C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;5.1;-5.1
;PICHETA;SITA -IDF;DECHETTERIE;LC25113277C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;6.1;-6.1
;PICHETA;SITA -IDF;DECHETTERIE;LC25113278C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;6.7;-6.7
;PICHETA;SITA -IDF;DECHETTERIE;LC25113280C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;7.0;-7.0
;PICHETA;SITA -IDF;DECHETTERIE;LC25113283C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;9.3;-9.3
